Vårdagjämning,2021-03-20 09:37:27
Vårdagjämning,2022-03-20 15:33:23
Vårdagjämning,2023-03-20 12:24:24
Vårdagjämning,2024-03-20 03:06:21
Vårdagjämning,2025-03-20 09:01:25
Sommarsolstånd,2021-06-21 03:32:08
Sommarsolstånd,2022-06-21 09:13:49
Sommarsolstånd,2023-06-21 14:57:47
Sommarsolstånd,2024-06-20 20:50:56
Sommarsolstånd,2025-06-21 02:42:11
Höstdagjämning,2021-09-22 19:21:03
Höstdagjämning,2022-09-23 01:03:40
Höstdagjämning,2023-09-23 06:49:56
Höstdagjämning,2024-09-22 12:43:36
Höstdagjämning,2025-09-22 18:19:16
Vintersolstånd,2021-12-21 15:59:16
Vintersolstånd,2022-12-21 21:48:10
Vintersolstånd,2023-12-22 03:27:19
Vintersolstånd,2024-12-21 09:20:30
Vintersolstånd,2025-12-21 15:03:01
